fecha,caudal_l_s,nitratos_mg_l
2024-12-03,,0.24491579999999993
2024-12-12,,0.29038539999999996
2025-01-08,,0.20306309999999997
2025-01-13,,0.19841280000000003
2025-01-20,,0.19841280000000003
2025-01-29,,0.19996289999999997
2025-02-05,,0.7006451999999999
2025-02-10,,0.33740509999999996
2025-03-07,,0.6076391999999998
2025-03-17,,0.29423716363636354
2025-03-25,,0.30123609999999995
2025-03-31,,0.3317214
2025-04-08,,0.2278647
2025-04-14,,0.24543249999999994
2025-04-21,,0.25318299999999994
2025-04-28,,0.19841280000000003
2025-05-05,,0.22218099999999996
2025-05-13,,0.19892949999999998
2025-05-19,,0.2025464
2025-05-27,,0.19841280000000003
2025-06-03,,0.23148159999999995
2025-06-10,,0.19841280000000003
2025-06-18,,0.20823009999999997
2025-06-23,,0.19841280000000003
2025-06-30,,0.24336569999999993
2025-07-07,,0.19841280000000003
2025-07-15,,0.19841280000000003
2025-07-22,,0.19841280000000003
2025-07-28,,0.19841280000000003
2025-08-04,,0.036168999999999986
2025-08-11,,0.11609732300000007
2025-08-18,,0.09502629700000004
2025-08-27,,0.08073954199999998
2025-09-02,,0.042271226999999995
2025-09-08,,0.08721896
2025-09-15,,0.028340994999999994
2025-09-24,,0.028268656999999992
2025-09-29,,0.033358151999999995
2025-10-07,,0.030438796999999993
2025-10-14,,0.2620702399999999
2025-10-20,,0.089358098
2025-10-27,,0.39374606800000017
2025-11-03,,0.20907232099999998
2025-11-11,,0.23566686999999995
2025-11-18,,0.26267994599999994
2025-11-24,,0.10373269200000004
2025-12-02,,0.73820929
2025-12-09,,0.23417360699999992
2025-12-15,,1.3223334729999998
2025-12-24,,0.3966654230000002
2025-12-30,,1.125615449
2026-01-08,,0.482422122
2026-01-23,,0.689029784
2026-01-26,,1.1672769699999999
2026-02-03,,0.6503237869999999
2026-02-10,,1.6286539009999996
2026-02-17,,0.6464692050000002
2026-02-23,,0.6479107980000001
